"Mouse_ID","infection_status","species_Eimeria"
"AA0765","TRUE",NA
"AA0766","FALSE",NA
"AA0767","FALSE",NA
"AA0769","FALSE",NA
"AA0770","FALSE",NA
"AA0771","FALSE",NA
"AA0772","FALSE",NA
"AA0773","TRUE",NA
"AA0774",NA,NA
"AA0775","FALSE",NA
"AA0776","TRUE",NA
"AA0777","FALSE",NA
"AA0778","FALSE",NA
"AA0779","FALSE",NA
"AA0780","FALSE",NA
"AA0781","FALSE",NA
"AA0782","FALSE",NA
"AA0783","FALSE",NA
"AA0784","TRUE",NA
"AA0785","TRUE",NA
"AA0786","FALSE",NA
"AA0787","TRUE",NA
"AA0788","TRUE",NA
"AA0789","TRUE",NA
"AA0790",NA,NA
"AA0791","TRUE",NA
"AA0792","TRUE",NA
"AA0793","FALSE",NA
"AA0794","FALSE",NA
"AA0795","TRUE",NA
"AA0796","TRUE",NA
"AA0797","FALSE",NA
"AA0798","TRUE",NA
"AA0799",NA,NA
"AA0800","TRUE",NA
"AA0801","FALSE",NA
"AA0802","FALSE",NA
"AA0803","TRUE",NA
"AA0804","TRUE",NA
"AA0805","TRUE",NA
"AA0806","TRUE",NA
"AA0807","FALSE",NA
"AA0809","FALSE",NA
"AA0812","TRUE",NA
"AA0813","TRUE",NA
"AA0817","TRUE",NA
"AA0819","TRUE",NA
"AA0820","TRUE",NA
"AA0821","TRUE",NA
"AA0824","TRUE",NA
"AA0825","FALSE",NA
"AA0826","TRUE",NA
"AA0827","TRUE",NA
"AA0828","TRUE",NA
"AA0829","TRUE",NA
"AA0830",NA,NA
"AA0831","TRUE",NA
"AA0838","TRUE",NA
"AA0839","TRUE",NA
"AA0842","FALSE",NA
"AA0850","TRUE",NA
"AA0851","FALSE",NA
"AA0853","TRUE",NA
